Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,Gasoline Prices,2020-05-31T00:00:00,0.88,Monthly,TurkeyGasPri,2020-05-27T22:13:00
Turkey,Gasoline Prices,2020-06-30T00:00:00,0.92,Monthly,TurkeyGasPri,2020-06-28T17:16:00
Turkey,Gasoline Prices,2020-07-31T00:00:00,0.92,Monthly,TurkeyGasPri,2020-07-30T16:37:00
Turkey,Gasoline Prices,2020-08-31T00:00:00,0.91,Monthly,TurkeyGasPri,2020-08-29T10:09:00
Turkey,Gasoline Prices,2020-09-30T00:00:00,0.86,Monthly,TurkeyGasPri,2020-09-29T22:31:00
Turkey,Gasoline Prices,2020-10-31T00:00:00,0.82,Monthly,TurkeyGasPri,2020-10-29T19:16:00
Turkey,Gasoline Prices,2020-11-30T00:00:00,0.9,Monthly,TurkeyGasPri,2020-11-29T19:01:00
Turkey,Gasoline Prices,2020-12-31T00:00:00,0.97,Monthly,TurkeyGasPri,2020-12-31T15:48:00
Turkey,Gasoline Prices,2021-01-31T00:00:00,0.99,Monthly,TurkeyGasPri,2021-01-26T17:48:00
Turkey,Gasoline Prices,2021-02-28T00:00:00,0.99,Monthly,TurkeyGasPri,2021-02-26T20:50:00
Turkey,Gasoline Prices,2021-03-31T00:00:00,0.85,Monthly,TurkeyGasPri,2021-03-30T16:32:00
Turkey,Gasoline Prices,2021-04-30T00:00:00,0.87,Monthly,TurkeyGasPri,2021-04-27T16:54:00
Turkey,Gasoline Prices,2021-05-31T00:00:00,0.91,Monthly,TurkeyGasPri,2021-05-27T21:43:00
Turkey,Gasoline Prices,2021-06-30T00:00:00,0.9,Monthly,TurkeyGasPri,2021-06-30T15:17:00
Turkey,Gasoline Prices,2021-07-31T00:00:00,0.92,Monthly,TurkeyGasPri,2021-07-29T16:58:00
Turkey,Gasoline Prices,2021-08-31T00:00:00,0.94,Monthly,TurkeyGasPri,2021-08-31T16:11:00
Turkey,Gasoline Prices,2021-09-30T00:00:00,0.89,Monthly,TurkeyGasPri,2021-09-29T13:33:00
Turkey,Gasoline Prices,2021-10-31T00:00:00,0.89,Monthly,TurkeyGasPri,2021-10-28T21:04:00
Turkey,Gasoline Prices,2021-11-30T00:00:00,0.82,Monthly,TurkeyGasPri,2021-11-25T15:11:00
Turkey,Gasoline Prices,2021-12-31T00:00:00,0.9,Monthly,TurkeyGasPri,2021-12-30T12:16:00
Turkey,Gasoline Prices,2022-01-31T00:00:00,1.04,Monthly,TurkeyGasPri,2022-01-29T15:22:00
Turkey,Gasoline Prices,2022-02-28T00:00:00,1.22,Monthly,TurkeyGasPri,2022-03-15T16:19:00
Turkey,Gasoline Prices,2022-03-31T00:00:00,1.35,Monthly,TurkeyGasPri,2022-03-31T09:32:00
Turkey,Gasoline Prices,2022-04-30T00:00:00,1.37,Monthly,TurkeyGasPri,2022-05-01T21:57:00
Turkey,Gasoline Prices,2022-05-31T00:00:00,1.53,Monthly,TurkeyGasPri,2022-05-30T10:39:00
Turkey,Gasoline Prices,2022-06-30T00:00:00,1.49,Monthly,TurkeyGasPri,2022-07-05T13:01:00
Turkey,Gasoline Prices,2022-07-31T00:00:00,1.25,Monthly,TurkeyGasPri,2022-08-02T09:39:00
Turkey,Gasoline Prices,2022-08-31T00:00:00,1.11,Monthly,TurkeyGasPri,2022-08-30T11:23:00
Turkey,Gasoline Prices,2022-09-30T00:00:00,1.05,Monthly,TurkeyGasPri,2022-09-30T13:56:00
Turkey,Gasoline Prices,2022-10-31T00:00:00,1.12,Monthly,TurkeyGasPri,2022-11-04T06:13:00
Turkey,Gasoline Prices,2022-11-30T00:00:00,1.08,Monthly,TurkeyGasPri,2022-11-28T03:17:00
Turkey,Gasoline Prices,2022-12-31T00:00:00,1,Monthly,TurkeyGasPri,2022-12-29T05:50:00
Turkey,Gasoline Prices,2023-01-31T00:00:00,1.13,Monthly,TurkeyGasPri,2023-02-01T07:40:00
Turkey,Gasoline Prices,2023-02-28T00:00:00,1.1,Monthly,TurkeyGasPri,2023-02-27T02:50:00
Turkey,Gasoline Prices,2023-03-31T00:00:00,1.14,Monthly,TurkeyGasPri,2023-03-28T03:16:00
Turkey,Gasoline Prices,2023-04-30T00:00:00,1.46,Monthly,TurkeyGasPri,2023-04-26T05:12:00
Turkey,Gasoline Prices,2023-05-31T00:00:00,1.07,Monthly,TurkeyGasPri,2023-05-30T02:46:00
Turkey,Gasoline Prices,2023-06-30T00:00:00,0.94,Monthly,TurkeyGasPri,2023-06-27T08:38:00
Turkey,Gasoline Prices,2023-07-31T00:00:00,1.36,Monthly,TurkeyGasPri,2023-08-01T01:39:00
Turkey,Gasoline Prices,2023-08-31T00:00:00,1.44,Monthly,TurkeyGasPri,2023-08-29T07:16:00
Turkey,Gasoline Prices,2023-09-30T00:00:00,1.36,Monthly,TurkeyGasPri,2023-09-27T02:21:00
Turkey,Gasoline Prices,2023-10-31T00:00:00,1.27,Monthly,TurkeyGasPri,2023-10-27T03:56:00
Turkey,Gasoline Prices,2023-11-30T00:00:00,1.22,Monthly,TurkeyGasPri,2023-12-05T07:59:00
Turkey,Gasoline Prices,2023-12-31T00:00:00,1.2,Monthly,TurkeyGasPri,2023-12-27T04:31:00
Turkey,Gasoline Prices,2024-01-31T00:00:00,1.29,Monthly,TurkeyGasPri,2024-01-29T07:11:00
Turkey,Gasoline Prices,2024-02-29T00:00:00,1.32,Monthly,TurkeyGasPri,2024-02-29T03:38:00
